Days of the Week, Mon-Sat , Mon-Sat , Mon-Fri , Sat 
60137,$83.00,$45.00,$7.00,$7.00
60137,$83.00,$45.00,$7.00,$7.00
60137,$75.00,$41.00,$66.00,$95.00
60138,$83.00,$45.00,$65.00,$94.00
60139,$83.00,$45.00,$70.00,$101.00
60143,$83.00,$45.00,$7.00,$7.00
60141,$83.00,$45.00,$45.00,$64.00
60143,$83.00,$45.00,$68.00,$98.00
60148,$75.00,$41.00,$57.00,$82.00
60153,$59.00,$33.00,$7.00,$7.00
60153,$59.00,$33.00,$44.00,$62.00
60154,$67.00,$37.00,$50.00,$71.00
60155,$59.00,$33.00,$47.00,$68.00
60157,$83.00,$45.00,$7.00,$7.00
60157,$83.00,$45.00,$68.00,$98.00
60159,$83.00,$45.00,$78.00,$113.00
60160,$67.00,$37.00,$49.00,$70.00
60160,$59.00,$33.00,$7.00,$7.00
60160,$59.00,$33.00,$7.00,$7.00
60161,$59.00,$33.00,$49.00,$70.00
60162,$67.00,$37.00,$50.00,$71.00
60163,$67.00,$37.00,$50.00,$71.00
60163,$59.00,$33.00,$7.00,$7.00
60164,$67.00,$37.00,$52.00,$75.00
60164,$59.00,$33.00,$7.00,$7.00
60164,$67.00,$37.00,$7.00,$7.00
60165,$59.00,$33.00,$7.00,$7.00
60165,$67.00,$37.00,$50.00,$72.00
60165,$59.00,$33.00,$7.00,$7.00
60168,$83.00,$45.00,$81.00,$118.00
60169,$83.00,$45.00,$80.00,$116.00
60171,$59.00,$33.00,$7.00,$7.00
60171,$59.00,$33.00,$49.00,$69.00
60172,$83.00,$45.00,$7.00,$7.00
60172,$83.00,$45.00,$7.00,$7.00
60172,$83.00,$45.00,$70.00,$102.00
60173,$83.00,$45.00,$66.00,$96.00
60176,$67.00,$37.00,$54.00,$77.00
60181,$67.00,$37.00,$7.00,$7.00
60181,$75.00,$41.00,$7.00,$7.00
60181,$75.00,$41.00,$56.00,$81.00
60189,$83.00,$45.00,$79.00,$115.00
60191,$75.00,$41.00,$62.00,$90.00
60193,$83.00,$45.00,$80.00,$116.00
60194,$83.00,$45.00,$83.00,$120.00
60195,$83.00,$45.00,$69.00,$99.00
60196,$83.00,$45.00,$68.00,$98.00
60201,$59.00,$33.00,$56.00,$80.00
60202,$59.00,$33.00,$45.00,$64.00
60203,$59.00,$33.00,$52.00,$74.00
60203,$59.00,$33.00,$7.00,$7.00
60204,$59.00,$33.00,$47.00,$67.00
60208,$59.00,$33.00,$47.00,$67.00
60209,$59.00,$33.00,$54.00,$78.00
60301,$59.00,$33.00,$42.00,$60.00
60302,$59.00,$33.00,$41.00,$58.00
60303,$59.00,$33.00,$43.00,$60.00
60304,$59.00,$33.00,$39.00,$55.00
60305,$59.00,$33.00,$46.00,$66.00
60399,$67.00,$37.00,$62.00,$89.00
60402,$59.00,$33.00,$46.00,$65.00
60402,$59.00,$33.00,$7.00,$7.00
60402,$59.00,$33.00,$7.00,$7.00
60402,$59.00,$33.00,$7.00,$7.00
60406,$67.00,$37.00,$55.00,$80.00
60414,$67.00,$37.00,$63.00,$91.00
60415,$67.00,$37.00,$63.00,$91.00
60419,$7.00,$7.00,$62.00,$90.00
60425,$7.00,$7.00,$77.00,$112.00
60426,$7.00,$7.00,$65.00,$94.00
60428,$7.00,$7.00,$68.00,$98.00
60429,$7.00,$7.00,$70.00,$101.00
60430,$7.00,$7.00,$71.00,$103.00
60438,$7.00,$7.00,$72.00,$105.00
60439,$7.00,$7.00,$76.00,$111.00
60445,$7.00,$7.00,$67.00,$97.00
60452,$7.00,$7.00,$71.00,$103.00
60453,$59.00,$33.00,$55.00,$79.00
60444,$7.00,$7.00,$56.00,$80.00
60455,$67.00,$37.00,$52.00,$75.00
60456,$59.00,$33.00,$52.00,$74.00
60456,$59.00,$33.00,$7.00,$7.00
60457,$67.00,$37.00,$58.00,$83.00
60458,$67.00,$37.00,$7.00,$7.00
60458,$75.00,$41.00,$64.00,$92.00
60459,$67.00,$37.00,$53.00,$75.00
60459,$67.00,$37.00,$7.00,$7.00
60462,$7.00,$7.00,$77.00,$111.00
60463,$75.00,$41.00,$66.00,$95.00
60464,$7.00,$7.00,$67.00,$97.00
60465,$85.00,$46.00,$61.00,$87.00
60469,$7.00,$7.00,$61.00,$88.00
60472,$67.00,$37.00,$62.00,$90.00
60473,$7.00,$7.00,$65.00,$94.00
60476,$7.00,$7.00,$70.00,$101.00
60478,$7.00,$7.00,$73.00,$106.00
60480,$7.00,$7.00,$59.00,$84.00
60482,$75.00,$41.00,$64.00,$92.00
60482,$67.00,$37.00,$7.00,$7.00
60499,$67.00,$37.00,$50.00,$72.00
60499,$67.00,$37.00,$7.00,$7.00
60501,$67.00,$37.00,$49.00,$70.00
60501,$59.00,$33.00,$7.00,$7.00
60501,$67.00,$37.00,$7.00,$7.00
60513,$67.00,$37.00,$51.00,$73.00
60513,$59.00,$33.00,$7.00,$7.00
60514,$75.00,$41.00,$60.00,$87.00
60514,$75.00,$41.00,$7.00,$7.00
60515,$75.00,$41.00,$62.00,$89.00
60516,$75.00,$41.00,$70.00,$101.00
60517,$7.00,$7.00,$73.00,$106.00
60521,$75.00,$41.00,$60.00,$86.00
60522,$75.00,$41.00,$57.00,$82.00
60523,$75.00,$41.00,$7.00,$7.00
60523,$83.00,$45.00,$57.00,$82.00
60525,$67.00,$37.00,$7.00,$7.00
60525,$75.00,$41.00,$7.00,$7.00
60525,$75.00,$41.00,$50.00,$71.00
60525,$67.00,$37.00,$7.00,$7.00
60525,$59.00,$33.00,$7.00,$7.00
60526,$67.00,$37.00,$50.00,$71.00
60527,$83.00,$45.00,$58.00,$84.00
60527,$75.00,$41.00,$7.00,$7.00
60534,$59.00,$33.00,$47.00,$67.00
60534,$59.00,$33.00,$7.00,$7.00
60546,$59.00,$33.00,$7.00,$7.00
60546,$59.00,$33.00,$7.00,$7.00
60546,$67.00,$37.00,$46.00,$65.00
60546,$59.00,$33.00,$7.00,$7.00
60558,$67.00,$37.00,$53.00,$76.00
60559,$83.00,$45.00,$62.00,$89.00
60561,$7.00,$7.00,$67.00,$96.00
60620,$67.00,$37.00,$45.00,$65.00
60628,$7.00,$7.00,$47.00,$67.00
60629,$67.00,$37.00,$44.00,$62.00
60634,$59.00,$33.00,$43.00,$61.00
60638,$67.00,$37.00,$44.00,$62.00
60638,$59.00,$33.00,$7.00,$7.00
60643,$67.00,$37.00,$52.00,$75.00
60645,$59.00,$33.00,$44.00,$62.00
60646,$59.00,$33.00,$43.00,$61.00
60655,$67.00,$37.00,$54.00,$78.00
60682,$59.00,$33.00,$42.00,$60.00
60706,$59.00,$33.00,$46.00,$65.00
60706,$59.00,$33.00,$7.00,$7.00
60707,$59.00,$33.00,$7.00,$7.00
60707,$59.00,$33.00,$46.00,$65.00
60712,$59.00,$33.00,$46.00,$65.00
60714,$59.00,$33.00,$53.00,$76.00
60803,$67.00,$37.00,$57.00,$82.00
60803,$67.00,$37.00,$7.00,$7.00
60804,$59.00,$33.00,$40.00,$56.00
60805,$59.00,$33.00,$51.00,$73.00
60827,$67.00,$37.00,$58.00,$83.00
